iter	Passed	Remaining
0	148	148146
1	150	74904
2	151	50378
3	153	38109
4	154	30762
5	155	25828
6	157	22277
7	158	19690
8	164	18088
9	166	16456
10	168	15108
11	169	13942
12	170	12960
13	171	12103
14	173	11383
15	174	10730
16	176	10181
17	177	9699
18	179	9263
19	181	8871
20	182	8503
21	183	8160
22	184	7854
23	186	7587
24	188	7332
25	189	7099
26	191	6889
27	192	6695
28	194	6498
29	195	6316
30	196	6143
31	197	5977
32	198	5821
33	199	5680
34	201	5552
35	202	5424
36	204	5315
37	205	5213
38	207	5116
39	208	5014
40	210	4916
41	211	4823
42	212	4732
43	213	4646
44	215	4566
45	216	4493
46	218	4424
47	219	4362
48	221	4302
49	223	4239
50	224	4174
51	225	4110
52	226	4049
53	227	3990
54	228	3934
55	230	3888
56	231	3837
57	233	3791
58	235	3748
59	236	3704
60	237	3658
61	238	3613
62	239	3569
63	241	3528
64	242	3488
65	243	3452
66	245	3421
67	247	3388
68	248	3355
69	250	3328
70	251	3295
71	253	3266
72	254	3234
73	255	3202
74	257	3175
75	258	3147
76	260	3119
77	261	3095
78	263	3074
79	265	3051
80	266	3027
81	268	3003
82	269	2973
83	270	2949
84	272	2928
85	273	2907
86	274	2884
87	276	2866
88	278	2847
89	279	2828
90	281	2806
91	282	2784
92	283	2762
93	284	2741
94	285	2720
95	287	2705
96	288	2687
97	289	2668
98	291	2654
99	293	2640
100	295	2626
101	296	2609
102	297	2592
103	298	2575
104	300	2560
105	302	2547
106	303	2535
107	305	2525
108	307	2517
109	309	2506
110	311	2490
111	312	2475
112	313	2461
113	315	2448
114	316	2438
115	318	2424
116	319	2408
117	320	2394
118	322	2385
119	324	2376
120	325	2364
121	326	2351
122	328	2339
123	329	2327
124	330	2313
125	331	2302
126	333	2291
127	334	2280
128	336	2270
129	337	2261
130	339	2253
131	340	2242
132	342	2231
133	343	2221
134	345	2211
135	346	2202
136	347	2191
137	349	2181
138	351	2174
139	352	2167
140	354	2158
141	355	2146
142	356	2136
143	358	2128
144	359	2119
145	360	2110
146	362	2101
147	363	2093
148	365	2085
149	366	2078
150	368	2073
151	370	2064
152	371	2055
153	372	2047
154	373	2038
155	375	2030
156	376	2022
157	378	2014
158	379	2006
159	380	1999
160	381	1990
161	383	1984
162	384	1976
163	386	1968
164	387	1961
165	388	1954
166	390	1947
167	391	1940
168	393	1933
169	394	1926
170	396	1920
171	397	1915
172	399	1910
173	400	1903
174	402	1897
175	403	1889
176	405	1883
177	406	1876
178	407	1870
179	408	1863
180	410	1857
181	412	1853
182	413	1848
183	415	1842
184	416	1834
185	417	1828
186	419	1823
187	420	1817
188	422	1811
189	423	1805
190	425	1800
191	426	1796
192	428	1792
193	430	1787
194	431	1781
195	433	1777
196	434	1770
197	435	1765
198	437	1760
199	438	1754
200	440	1750
201	442	1747
202	443	1743
203	445	1737
204	446	1733
205	448	1727
206	449	1721
